sym_idx,I,Q,tlast,b0,b1,K,phase_deg
0,0,0,0,1,0,1,0
1,32767,0,0,0,0,1,0
2,32767,0,0,0,0,1,0
3,0,0,0,1,0,1,0
4,0,0,0,1,0,1,0
5,32767,0,0,0,0,1,0
6,0,0,0,1,0,1,0
7,0,0,0,1,0,1,0
8,32767,0,0,0,0,1,0
9,32767,0,0,0,0,1,0
10,32767,0,0,0,0,1,0
11,0,0,0,1,0,1,0
12,32767,0,0,0,0,1,0
13,32767,0,0,0,0,1,0
14,32767,0,0,0,0,1,0
15,0,0,0,1,0,1,0
16,32767,0,0,0,0,1,0
17,32767,0,0,0,0,1,0
18,0,0,0,1,0,1,0
19,0,0,0,1,0,1,0
20,0,0,0,1,0,1,0
21,0,0,0,1,0,1,0
22,0,0,0,1,0,1,0
23,0,0,0,1,0,1,0
24,0,0,0,1,0,1,0
25,32767,0,0,0,0,1,0
26,32767,0,0,0,0,1,0
27,32767,0,0,0,0,1,0
28,32767,0,0,0,0,1,0
29,0,0,0,1,0,1,0
30,32767,0,0,0,0,1,0
31,32767,0,0,0,0,1,0
32,32767,0,0,0,0,1,0
33,32767,0,0,0,0,1,0
34,32767,0,0,0,0,1,0
35,32767,0,0,0,0,1,0
36,32767,0,0,0,0,1,0
37,0,0,0,1,0,1,0
38,0,0,0,1,0,1,0
39,0,0,0,1,0,1,0
40,0,0,0,1,0,1,0
41,32767,0,0,0,0,1,0
42,32767,0,0,0,0,1,0
43,32767,0,0,0,0,1,0
44,0,0,0,1,0,1,0
45,32767,0,0,0,0,1,0
46,32767,0,0,0,0,1,0
47,0,0,0,1,0,1,0
48,0,0,0,1,0,1,0
49,0,0,0,1,0,1,0
50,32767,0,0,0,0,1,0
51,0,0,0,1,0,1,0
52,0,0,0,1,0,1,0
53,0,0,0,1,0,1,0
54,32767,0,0,0,0,1,0
55,32767,0,0,0,0,1,0
56,32767,0,0,0,0,1,0
57,0,0,0,1,0,1,0
58,0,0,0,1,0,1,0
59,0,0,0,1,0,1,0
60,0,0,0,1,0,1,0
61,0,0,0,1,0,1,0
62,0,0,0,1,0,1,0
63,0,0,0,1,0,1,0
64,0,0,0,1,0,1,0
65,32767,0,0,0,0,1,0
66,0,0,0,1,0,1,0
67,32767,0,0,0,0,1,0
68,32767,0,0,0,0,1,0
69,0,0,0,1,0,1,0
70,32767,0,0,0,0,1,0
71,0,0,0,1,0,1,0
72,0,0,0,1,0,1,0
73,0,0,0,1,0,1,0
74,32767,0,0,0,0,1,0
75,0,0,0,1,0,1,0
76,0,0,0,1,0,1,0
77,32767,0,0,0,0,1,0
78,32767,0,0,0,0,1,0
79,0,0,0,1,0,1,0
80,32767,0,0,0,0,1,0
81,0,0,0,1,0,1,0
82,0,0,0,1,0,1,0
83,32767,0,0,0,0,1,0
84,0,0,0,1,0,1,0
85,0,0,0,1,0,1,0
86,32767,0,0,0,0,1,0
87,32767,0,0,0,0,1,0
88,32767,0,0,0,0,1,0
89,32767,0,0,0,0,1,0
90,0,0,0,1,0,1,0
91,0,0,0,1,0,1,0
92,32767,0,0,0,0,1,0
93,0,0,0,1,0,1,0
94,0,0,0,1,0,1,0
95,0,0,0,1,0,1,0
96,32767,0,0,0,0,1,0
97,32767,0,0,0,0,1,0
98,32767,0,0,0,0,1,0
99,32767,0,0,0,0,1,0
100,0,0,0,1,0,1,0
101,0,0,0,1,0,1,0
102,32767,0,0,0,0,1,0
103,32767,0,0,0,0,1,0
104,32767,0,0,0,0,1,0
105,0,0,0,1,0,1,0
106,0,0,0,1,0,1,0
107,0,0,0,1,0,1,0
108,0,0,0,1,0,1,0
109,32767,0,0,0,0,1,0
110,32767,0,0,0,0,1,0
111,32767,0,0,0,0,1,0
112,32767,0,0,0,0,1,0
113,0,0,0,1,0,1,0
114,32767,0,0,0,0,1,0
115,0,0,0,1,0,1,0
116,0,0,0,1,0,1,0
117,0,0,0,1,0,1,0
118,32767,0,0,0,0,1,0
119,0,0,0,1,0,1,0
120,0,0,0,1,0,1,0
121,32767,0,0,0,0,1,0
122,32767,0,0,0,0,1,0
123,0,0,0,1,0,1,0
124,0,0,0,1,0,1,0
125,0,0,0,1,0,1,0
126,32767,0,0,0,0,1,0
127,0,0,0,1,0,1,0
128,0,0,0,1,0,1,0
129,32767,0,0,0,0,1,0
130,0,0,0,1,0,1,0
131,32767,0,0,0,0,1,0
132,0,0,0,1,0,1,0
133,0,0,0,1,0,1,0
134,0,0,0,1,0,1,0
135,32767,0,0,0,0,1,0
136,32767,0,0,0,0,1,0
137,32767,0,0,0,0,1,0
138,32767,0,0,0,0,1,0
139,0,0,0,1,0,1,0
140,32767,0,0,0,0,1,0
141,32767,0,0,0,0,1,0
142,0,0,0,1,0,1,0
143,0,0,0,1,0,1,0
144,32767,0,0,0,0,1,0
145,0,0,0,1,0,1,0
146,0,0,0,1,0,1,0
147,32767,0,0,0,0,1,0
148,0,0,0,1,0,1,0
149,0,0,0,1,0,1,0
150,32767,0,0,0,0,1,0
151,0,0,0,1,0,1,0
152,32767,0,0,0,0,1,0
153,32767,0,0,0,0,1,0
154,0,0,0,1,0,1,0
155,32767,0,0,0,0,1,0
156,0,0,0,1,0,1,0
157,0,0,0,1,0,1,0
158,0,0,0,1,0,1,0
159,32767,0,0,0,0,1,0
160,32767,0,0,0,0,1,0
161,0,0,0,1,0,1,0
162,0,0,0,1,0,1,0
163,32767,0,0,0,0,1,0
164,0,0,0,1,0,1,0
165,0,0,0,1,0,1,0
166,32767,0,0,0,0,1,0
167,0,0,0,1,0,1,0
168,0,0,0,1,0,1,0
169,0,0,0,1,0,1,0
170,0,0,0,1,0,1,0
171,32767,0,0,0,0,1,0
172,0,0,0,1,0,1,0
173,0,0,0,1,0,1,0
174,0,0,0,1,0,1,0
175,32767,0,0,0,0,1,0
176,32767,0,0,0,0,1,0
177,32767,0,0,0,0,1,0
178,32767,0,0,0,0,1,0
179,32767,0,0,0,0,1,0
180,0,0,0,1,0,1,0
181,32767,0,0,0,0,1,0
182,32767,0,0,0,0,1,0
183,0,0,0,1,0,1,0
184,32767,0,0,0,0,1,0
185,0,0,0,1,0,1,0
186,32767,0,0,0,0,1,0
187,0,0,0,1,0,1,0
188,0,0,0,1,0,1,0
189,0,0,0,1,0,1,0
190,32767,0,0,0,0,1,0
191,0,0,0,1,0,1,0
192,32767,0,0,0,0,1,0
193,0,0,0,1,0,1,0
194,32767,0,0,0,0,1,0
195,0,0,0,1,0,1,0
196,32767,0,0,0,0,1,0
197,0,0,0,1,0,1,0
198,32767,0,0,0,0,1,0
199,32767,0,0,0,0,1,0
200,0,0,0,1,0,1,0
201,32767,0,0,0,0,1,0
202,0,0,0,1,0,1,0
203,0,0,0,1,0,1,0
204,0,0,0,1,0,1,0
205,0,0,0,1,0,1,0
206,32767,0,0,0,0,1,0
207,0,0,0,1,0,1,0
208,0,0,0,1,0,1,0
209,32767,0,0,0,0,1,0
210,0,0,0,1,0,1,0
211,0,0,0,1,0,1,0
212,32767,0,0,0,0,1,0
213,0,0,0,1,0,1,0
214,32767,0,0,0,0,1,0
215,32767,0,0,0,0,1,0
216,32767,0,0,0,0,1,0
217,32767,0,0,0,0,1,0
218,0,0,0,1,0,1,0
219,32767,0,0,0,0,1,0
220,32767,0,0,0,0,1,0
221,0,0,0,1,0,1,0
222,32767,0,0,0,0,1,0
223,0,0,0,1,0,1,0
224,0,0,0,1,0,1,0
225,32767,0,0,0,0,1,0
226,32767,0,0,0,0,1,0
227,0,0,0,1,0,1,0
228,32767,0,0,0,0,1,0
229,32767,0,0,0,0,1,0
230,32767,0,0,0,0,1,0
231,32767,0,0,0,0,1,0
232,32767,0,0,0,0,1,0
233,0,0,0,1,0,1,0
234,0,0,0,1,0,1,0
235,32767,0,0,0,0,1,0
236,32767,0,0,0,0,1,0
237,0,0,0,1,0,1,0
238,0,0,0,1,0,1,0
239,0,0,0,1,0,1,0
240,32767,0,0,0,0,1,0
241,32767,0,0,0,0,1,0
242,0,0,0,1,0,1,0
243,32767,0,0,0,0,1,0
244,32767,0,0,0,0,1,0
245,32767,0,0,0,0,1,0
246,0,0,0,1,0,1,0
247,32767,0,0,0,0,1,0
248,0,0,0,1,0,1,0
249,0,0,0,1,0,1,0
250,32767,0,0,0,0,1,0
251,32767,0,0,0,0,1,0
252,0,0,0,1,0,1,0
253,32767,0,0,0,0,1,0
254,32767,0,0,0,0,1,0
255,0,0,0,1,0,1,0
256,0,0,0,1,0,1,0
257,0,0,0,1,0,1,0
258,32767,0,0,0,0,1,0
259,32767,0,0,0,0,1,0
260,0,0,0,1,0,1,0
261,32767,0,0,0,0,1,0
262,0,0,0,1,0,1,0
